Name,Description,Location,Latitude,Longitude,Type Of Site,Historical Era,Key Features,Opening Hours,Typical Visit Duration,Entry Fee,Text
Valley of the Kings,"An iconic royal burial ground where many New Kingdom pharaohs, including Tutankhamun and Ramses the Great, were interred. Each tomb reveals elaborate decorations and texts designed to guide the deceased to the afterlife.",luxor,25.7402,32.6014,necropolis,pharaonic,"['Tomb of Tutankhamun', 'In-depth wall paintings', 'Dozens of royal tombs']",06:00 - 17:00,2 - 3 hours,"240 EGP (foreigners), 40 EGP (Egyptians) for standard tombs","Name: Valley of the Kings, Description: An iconic royal burial ground where many New Kingdom pharaohs, including Tutankhamun and Ramses the Great, were interred. Each tomb reveals elaborate decorations and texts designed to guide the deceased to the afterlife., Location: luxor, Key Features: ['Tomb of Tutankhamun', 'In-depth wall paintings', 'Dozens of royal tombs'], Historical Era: pharaonic, Type: necropolis, Opening Hours: 06:00 - 17:00, Visit Duration: 2 - 3 hours, Entry Fee: 240 EGP (foreigners), 40 EGP (Egyptians) for standard tombs"
Valley of the Queens,"Reserved for the queens and royal children of the New Kingdom, this valley contains the exquisitely decorated tomb of Queen Nefertari. The vivid paintings inside these tombs provide insights into royal life and funerary beliefs.",luxor,25.7246,32.59,necropolis,pharaonic,"['Tomb of Nefertari', 'Painted reliefs', 'Smaller-scale tombs']",06:00 - 17:00,1 - 2 hours,"100 EGP (foreigners), 20 EGP (Egyptians), Extra for Nefertari's tomb","Name: Valley of the Queens, Description: Reserved for the queens and royal children of the New Kingdom, this valley contains the exquisitely decorated tomb of Queen Nefertari. The vivid paintings inside these tombs provide insights into royal life and funerary beliefs., Location: luxor, Key Features: ['Tomb of Nefertari', 'Painted reliefs', 'Smaller-scale tombs'], Historical Era: pharaonic, Type: necropolis, Opening Hours: 06:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 100 EGP (foreigners), 20 EGP (Egyptians), Extra for Nefertari's tomb"
Temple of Hatshepsut at Deir el-Bahari,"Commissioned by Queen Hatshepsut, one of Egypt’s few female pharaohs, this terraced mortuary temple nestles against towering limestone cliffs. Its reliefs commemorate trade expeditions and divine birth myths.",luxor,25.7379,32.6065,temple,pharaonic,"['Terraced structure', 'Colonnaded courts', 'Depictions of Hatshepsut’s reign']",06:00 - 17:00,1 - 2 hours,"140 EGP (foreigners), 20 EGP (Egyptians)","Name: Temple of Hatshepsut at Deir el-Bahari, Description: Commissioned by Queen Hatshepsut, one of Egypt’s few female pharaohs, this terraced mortuary temple nestles against towering limestone cliffs. Its reliefs commemorate trade expeditions and divine birth myths., Location: luxor, Key Features: ['Terraced structure', 'Colonnaded courts', 'Depictions of Hatshepsut’s reign'], Historical Era: pharaonic, Type: temple, Opening Hours: 06:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 140 EGP (foreigners), 20 EGP (Egyptians)"
Medinet Habu,"Dedicated to Ramses III, Medinet Habu is admired for its well-preserved reliefs portraying battles, religious ceremonies, and daily rituals. It ranks among the most significant temples on Luxor’s West Bank.",luxor,25.725,32.6022,temple,pharaonic,"['Detailed reliefs', 'Massive pylons', 'Inner sanctuaries']",06:00 - 17:00,1 - 2 hours,"100 EGP (foreigners), 20 EGP (Egyptians)","Name: Medinet Habu, Description: Dedicated to Ramses III, Medinet Habu is admired for its well-preserved reliefs portraying battles, religious ceremonies, and daily rituals. It ranks among the most significant temples on Luxor’s West Bank., Location: luxor, Key Features: ['Detailed reliefs', 'Massive pylons', 'Inner sanctuaries'], Historical Era: pharaonic, Type: temple, Opening Hours: 06:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 100 EGP (foreigners), 20 EGP (Egyptians)"
Ramesseum,"The mortuary temple of Ramses II, called the ‘Million-Year House,’ features colossal fallen statues once standing over 17 meters high. Its walls bear inscriptions of the Pharaoh’s campaigns, most famously the Battle of Kadesh.",luxor,25.7333,32.595,temple,pharaonic,"['Colossal Ramses II statues', 'Famous Ozymandias reference', 'Intricate wall scenes']",06:00 - 17:00,1 hour,"80 EGP (foreigners), 20 EGP (Egyptians)","Name: Ramesseum, Description: The mortuary temple of Ramses II, called the ‘Million-Year House,’ features colossal fallen statues once standing over 17 meters high. Its walls bear inscriptions of the Pharaoh’s campaigns, most famously the Battle of Kadesh., Location: luxor, Key Features: ['Colossal Ramses II statues', 'Famous Ozymandias reference', 'Intricate wall scenes'], Historical Era: pharaonic, Type: temple, Opening Hours: 06:00 - 17:00, Visit Duration: 1 hour, Entry Fee: 80 EGP (foreigners), 20 EGP (Egyptians)"
Deir el-Medina,"A unique settlement that housed the artisans and laborers who built the royal tombs in the nearby valleys. The workers’ tombs here are themselves intricately decorated, providing valuable insight into non-royal life in ancient Egypt.",luxor,25.7332,32.6047,archaeological site,pharaonic,"['Artisan tombs', 'Residential ruins', 'Insight into daily life of tomb builders']",06:00 - 17:00,1 - 2 hours,"100 EGP (foreigners), 20 EGP (Egyptians)","Name: Deir el-Medina, Description: A unique settlement that housed the artisans and laborers who built the royal tombs in the nearby valleys. The workers’ tombs here are themselves intricately decorated, providing valuable insight into non-royal life in ancient Egypt., Location: luxor, Key Features: ['Artisan tombs', 'Residential ruins', 'Insight into daily life of tomb builders'], Historical Era: pharaonic, Type: archaeological site, Opening Hours: 06:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 100 EGP (foreigners), 20 EGP (Egyptians)"
Temple of Seti I (Abydos),"Famed for the Abydos King List, which catalogs dynastic lineage, this temple was built by Seti I and his son Ramses II. Its well-preserved reliefs rank among the finest examples of New Kingdom art.",abydos,26.1862,31.9193,temple,pharaonic,"['Abydos King List', 'Exquisite reliefs', 'Dedicated to multiple gods']",08:00 - 17:00,1 - 2 hours,"140 EGP (foreigners), 20 EGP (Egyptians)","Name: Temple of Seti I (Abydos), Description: Famed for the Abydos King List, which catalogs dynastic lineage, this temple was built by Seti I and his son Ramses II. Its well-preserved reliefs rank among the finest examples of New Kingdom art., Location: abydos, Key Features: ['Abydos King List', 'Exquisite reliefs', 'Dedicated to multiple gods'], Historical Era: pharaonic, Type: temple, Opening Hours: 08:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 140 EGP (foreigners), 20 EGP (Egyptians)"
Temple of Ramses II (Abydos),"Standing near the Temple of Seti I, this site celebrates Ramses II’s military victories and divine lineage. Its decorative motifs showcase the Pharaonic power and piety characteristic of his extensive reign.",abydos,26.1855,31.9189,temple,pharaonic,"['Richly painted walls', 'Depictions of military victories', 'Shared complex with Seti I’s temple']",08:00 - 17:00,1 hour,"140 EGP (foreigners), 20 EGP (Egyptians) (combined with Seti I)","Name: Temple of Ramses II (Abydos), Description: Standing near the Temple of Seti I, this site celebrates Ramses II’s military victories and divine lineage. Its decorative motifs showcase the Pharaonic power and piety characteristic of his extensive reign., Location: abydos, Key Features: ['Richly painted walls', 'Depictions of military victories', 'Shared complex with Seti I’s temple'], Historical Era: pharaonic, Type: temple, Opening Hours: 08:00 - 17:00, Visit Duration: 1 hour, Entry Fee: 140 EGP (foreigners), 20 EGP (Egyptians) (combined with Seti I)"
Temple of Dendera,"Dedicated to the goddess Hathor, Dendera’s richly ornamented columns and astronomical ceiling highlight Greco-Roman religious syncretism. Visitors can explore underground crypts and see vibrant painted hieroglyphs throughout.",qena,26.1645,32.6558,temple,greco-roman,"['Ceiling zodiac', 'Crypt chambers', 'Elaborate Hathor carvings']",07:00 - 17:00,1 - 2 hours,"140 EGP (foreigners), 20 EGP (Egyptians)","Name: Temple of Dendera, Description: Dedicated to the goddess Hathor, Dendera’s richly ornamented columns and astronomical ceiling highlight Greco-Roman religious syncretism. Visitors can explore underground crypts and see vibrant painted hieroglyphs throughout., Location: qena, Key Features: ['Ceiling zodiac', 'Crypt chambers', 'Elaborate Hathor carvings'], Historical Era: greco-roman, Type: temple, Opening Hours: 07:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 140 EGP (foreigners), 20 EGP (Egyptians)"
Temple of Horus at Edfu,"One of Egypt’s most intact temples, built during the Ptolemaic period, dedicated to the falcon god Horus. Massive pylons flank the entrance, and the inner walls recount the divine birth and victories of Horus.",edfu,24.9792,32.8746,temple,greco-roman,"['Massive pylons', 'Sacred barque shrine', 'Mythological reliefs']",07:00 - 17:00,1 - 2 hours,"180 EGP (foreigners), 20 EGP (Egyptians)","Name: Temple of Horus at Edfu, Description: One of Egypt’s most intact temples, built during the Ptolemaic period, dedicated to the falcon god Horus. Massive pylons flank the entrance, and the inner walls recount the divine birth and victories of Horus., Location: edfu, Key Features: ['Massive pylons', 'Sacred barque shrine', 'Mythological reliefs'], Historical Era: greco-roman, Type: temple, Opening Hours: 07:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 180 EGP (foreigners), 20 EGP (Egyptians)"
Temple of Kom Ombo,"A dual temple overlooking the Nile, Kom Ombo venerates both Sobek (the crocodile god) and Horus the Elder. Its symmetrical design includes twin entrances and sanctuaries, symbolizing the duality of worship within one complex.",aswan,24.4663,32.9462,temple,greco-roman,"['Twin sanctuaries', 'Crocodile Museum nearby', 'Nile River panorama']",07:00 - 17:00,1 - 2 hours,"140 EGP (foreigners), 20 EGP (Egyptians)","Name: Temple of Kom Ombo, Description: A dual temple overlooking the Nile, Kom Ombo venerates both Sobek (the crocodile god) and Horus the Elder. Its symmetrical design includes twin entrances and sanctuaries, symbolizing the duality of worship within one complex., Location: aswan, Key Features: ['Twin sanctuaries', 'Crocodile Museum nearby', 'Nile River panorama'], Historical Era: greco-roman, Type: temple, Opening Hours: 07:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 140 EGP (foreigners), 20 EGP (Egyptians)"
Philae Temple,"An island complex honoring the goddess Isis, Philae was carefully relocated to Agilkia Island to save it from flooding caused by the Aswan High Dam. The temple’s reliefs depict legends of Isis, Osiris, and Horus.",aswan,24.0243,32.884,temple,greco-roman,"['Island setting', 'Temple of Isis', 'Sound-and-light shows']",07:00 - 17:00,1 - 2 hours,"180 EGP (foreigners), 20 EGP (Egyptians)","Name: Philae Temple, Description: An island complex honoring the goddess Isis, Philae was carefully relocated to Agilkia Island to save it from flooding caused by the Aswan High Dam. The temple’s reliefs depict legends of Isis, Osiris, and Horus., Location: aswan, Key Features: ['Island setting', 'Temple of Isis', 'Sound-and-light shows'], Historical Era: greco-roman, Type: temple, Opening Hours: 07:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 180 EGP (foreigners), 20 EGP (Egyptians)"
Unfinished Obelisk,"Discovered in the granite quarries of Aswan, this massive obelisk was abandoned due to cracks that formed during its carving. It demonstrates the advanced stone-cutting techniques of ancient Egypt.",aswan,24.0083,32.8789,archaeological site,pharaonic,"['Granite quarry', 'Cracked obelisk', 'Insight into obelisk carving']",07:00 - 17:00,30 - 60 minutes,"80 EGP (foreigners), 20 EGP (Egyptians)","Name: Unfinished Obelisk, Description: Discovered in the granite quarries of Aswan, this massive obelisk was abandoned due to cracks that formed during its carving. It demonstrates the advanced stone-cutting techniques of ancient Egypt., Location: aswan, Key Features: ['Granite quarry', 'Cracked obelisk', 'Insight into obelisk carving'], Historical Era: pharaonic, Type: archaeological site, Opening Hours: 07:00 - 17:00, Visit Duration: 30 - 60 minutes, Entry Fee: 80 EGP (foreigners), 20 EGP (Egyptians)"
Tombs of the Nobles,"These cliffside tombs in Aswan belonged to high officials, governors, and nobles, offering detailed paintings of daily life, religious rituals, and genealogical lists. Visitors can admire broad views of the Nile from the hillside.",aswan,24.0886,32.8875,necropolis,pharaonic,"['Colorful scenes of daily life', 'Strategic hillside location', 'Overlooks Aswan and Nile']",07:00 - 17:00,1 hour,"60 EGP (foreigners), 10 EGP (Egyptians)","Name: Tombs of the Nobles, Description: These cliffside tombs in Aswan belonged to high officials, governors, and nobles, offering detailed paintings of daily life, religious rituals, and genealogical lists. Visitors can admire broad views of the Nile from the hillside., Location: aswan, Key Features: ['Colorful scenes of daily life', 'Strategic hillside location', 'Overlooks Aswan and Nile'], Historical Era: pharaonic, Type: necropolis, Opening Hours: 07:00 - 17:00, Visit Duration: 1 hour, Entry Fee: 60 EGP (foreigners), 10 EGP (Egyptians)"
Elephantine Island,"Historically marking Egypt’s southern boundary, this island contains archaeological ruins of the Temple of Khnum and a traditional Nubian village. It also features a Nilometer used to measure the river’s water levels.",aswan,24.0863,32.887,archaeological site,various,"['Temple of Khnum ruins', 'Nubian culture', 'Nilometer structures']",Open area (museum sites 09:00 - 17:00),2 - 3 hours (exploring entire island),Varies by site on the island,"Name: Elephantine Island, Description: Historically marking Egypt’s southern boundary, this island contains archaeological ruins of the Temple of Khnum and a traditional Nubian village. It also features a Nilometer used to measure the river’s water levels., Location: aswan, Key Features: ['Temple of Khnum ruins', 'Nubian culture', 'Nilometer structures'], Historical Era: various, Type: archaeological site, Opening Hours: Open area (museum sites 09:00 - 17:00), Visit Duration: 2 - 3 hours (exploring entire island), Entry Fee: Varies by site on the island"
Nubian Museum,"Established to preserve the history and culture of Nubia, the museum includes artifacts salvaged before the creation of Lake Nasser. Exhibits cover prehistoric times, the Pharaonic era, and modern Nubian life.",aswan,24.0802,32.8886,museum,various,"['Nubian heritage', 'Ethnographic displays', 'Outdoor exhibit areas']",09:00 - 17:00,1 - 2 hours,"140 EGP (foreigners), 20 EGP (Egyptians)","Name: Nubian Museum, Description: Established to preserve the history and culture of Nubia, the museum includes artifacts salvaged before the creation of Lake Nasser. Exhibits cover prehistoric times, the Pharaonic era, and modern Nubian life., Location: aswan, Key Features: ['Nubian heritage', 'Ethnographic displays', 'Outdoor exhibit areas'], Historical Era: various, Type: museum, Opening Hours: 09:00 - 17:00, Visit Duration: 1 - 2 hours, Entry Fee: 140 EGP (foreigners), 20 EGP (Egyptians)"
Abu Simbel Temples,"Two towering rock-cut temples commissioned by Ramses II, featuring four colossal statues of the pharaoh seated at the entrance. The temples were famously relocated in the 1960s to protect them from the rising waters of Lake Nasser.",aswan,22.3373,31.6258,temple,pharaonic,"['Colossal seated statues of Ramses II', 'Sun alignment phenomenon', 'Temple of Queen Nefertari']",05:00 - 17:00,2 hours,"240 EGP (foreigners), 30 EGP (Egyptians)","Name: Abu Simbel Temples, Description: Two towering rock-cut temples commissioned by Ramses II, featuring four colossal statues of the pharaoh seated at the entrance. The temples were famously relocated in the 1960s to protect them from the rising waters of Lake Nasser., Location: aswan, Key Features: ['Colossal seated statues of Ramses II', 'Sun alignment phenomenon', 'Temple of Queen Nefertari'], Historical Era: pharaonic, Type: temple, Opening Hours: 05:00 - 17:00, Visit Duration: 2 hours, Entry Fee: 240 EGP (foreigners), 30 EGP (Egyptians)"
